,Last Name,Party,Full Name,ID
2403,DAVIDS,D,"Rep. Davids, Sharice [D-KS-3]",2403
2445,GOODEN,R,"Rep. Gooden, Lance [R-TX-5]",2445
2109,RUIZ,D,"Rep. Ruiz, Raul [D-CA-36]",2109
2090,AMODEI,R,"Rep. Amodei, Mark E. [R-NV-2]",2090
2137,WAGNER,R,"Rep. Wagner, Ann [R-MO-2]",2137
612,JONES,R,"Rep. Jones, Walter B., Jr. [R-NC-3]",612
1886,WITTMAN,R,"Rep. Wittman, Robert J. [R-VA-1]",1886
2028,HUIZENGA,R,"Rep. Huizenga, Bill [R-MI-2]",2028
2274,PLASKETT,D,"Del. Plaskett, Stacey E. [D-VI-At Large]",2274
2248,MOOLENAAR,R,"Rep. Moolenaar, John R. [R-MI-4]",2248
2245,GRAVES,R,"Rep. Graves, Garret [R-LA-6]",2245
2369,CLOUD,R,"Rep. Cloud, Michael [R-TX-27]",2369
2026,HARRIS,R,"Rep. Harris, Andy [R-MD-1]",2026
2062,DESJARLAIS,R,"Rep. DesJarlais, Scott [R-TN-4]",2062
2387,WALTZ,R,"Rep. Waltz, Michael [R-FL-6]",2387
2046,JOHNSON,R,"Rep. Johnson, Bill [R-OH-6]",2046
2224,WESTERMAN,R,"Rep. Westerman, Bruce [R-AR-4]",2224
977,ROGERS,R,"Rep. Rogers, Harold [R-KY-5]",977
1885,LATTA,R,"Rep. Latta, Robert E. [R-OH-5]",1885
2256,ROUZER,R,"Rep. Rouzer, David [R-NC-7]",2256
2140,HUDSON,R,"Rep. Hudson, Richard [R-NC-8]",2140
2009,SCOTT,R,"Rep. Scott, Austin [R-GA-8]",2009
2368,LESKO,R,"Rep. Lesko, Debbie [R-AZ-8]",2368
2243,BOST,R,"Rep. Bost, Mike [R-IL-12]",2243
1834,LAMBORN,R,"Rep. Lamborn, Doug [R-CO-5]",1834
2049,GIBBS,R,"Rep. Gibbs, Bob [R-OH-7]",2049
2297,COMER,R,"Rep. Comer, James [R-KY-1]",2297
2442,GREEN,R,"Rep. Green, Mark E. [R-TN-7]",2442
2268,RATCLIFFE,R,"Rep. Ratcliffe, John [R-TX-4]",2268
1753,BISHOP,R,"Rep. Bishop, Rob [R-UT-1]",1753
2441,ROSE,R,"Rep. Rose, John W. [R-TN-6]",2441
711,LUCAS,R,"Rep. Lucas, Frank D. [R-OK-3]",711
2163,CASTRO,D,"Rep. Castro, Joaquin [D-TX-20]",2163
798,MFUME,D,"Rep. Mfume, Kweisi [D-MD-7]",798
1188,VISCLOSKY,D,"Rep. Visclosky, Peter J. [D-IN-1]",1188
1992,GOSAR,R,"Rep. Gosar, Paul A. [R-AZ-4]",1992
2480,TIFFANY,R,"Rep. Tiffany, Thomas P. [R-WI-7]",2480
1041,SENSENBRENNER,R,"Rep. Sensenbrenner, F. James, Jr. [R-WI-5]",1041
2277,MOONEY,R,"Rep. Mooney, Alexander X. [R-WV-2]",2277
1908,MCCLINTOCK,R,"Rep. McClintock, Tom [R-CA-4]",1908
1205,WATERS,D,"Rep. Waters, Maxine [D-CA-43]",1205
2473,BISHOP,R,"Rep. Bishop, Dan [R-NC-9]",2473
2191,SMITH,R,"Rep. Smith, Jason [R-MO-8]",2191
2460,MILLER,R,"Rep. Miller, Carol D. [R-WV-3]",2460
1991,WOMACK,R,"Rep. Womack, Steve [R-AR-3]",1991
2121,COLLINS,R,"Rep. Collins, Doug [R-GA-9]",2121
1792,MCHENRY,R,"Rep. McHenry, Patrick T. [R-NC-10]",1792
2157,PERRY,R,"Rep. Perry, Scott [R-PA-10]",2157
2168,STEWART,R,"Rep. Stewart, Chris [R-UT-2]",2168
1752,CARTER,R,"Rep. Carter, John R. [R-TX-31]",1752
1527,SHIMKUS,R,"Rep. Shimkus, John [R-IL-15]",1527
1855,WALBERG,R,"Rep. Walberg, Tim [R-MI-7]",1855
2057,DUNCAN,R,"Rep. Duncan, Jeff [R-SC-3]",2057
2142,MEADOWS,R,"Rep. Meadows, Mark [R-NC-11]",2142
2481,JACOBS,R,"Rep. Jacobs, Chris [R-NY-27]",2481
1979,GRAVES,R,"Rep. Graves, Tom [R-GA-14]",1979
1868,JORDAN,R,"Rep. Jordan, Jim [R-OH-4]",1868
1460,ADERHOLT,R,"Rep. Aderholt, Robert B. [R-AL-4]",1460
2316,RUTHERFORD,R,"Rep. Rutherford, John H. [R-FL-4]",2316
2221,PALMER,R,"Rep. Palmer, Gary J. [R-AL-6]",2221
2033,LONG,R,"Rep. Long, Billy [R-MO-7]",2033
1717,DIAZ-BALART,R,"Rep. Diaz-Balart, Mario [R-FL-25]",1717
2479,GARCIA,R,"Rep. Garcia, Mike [R-CA-25]",2479
2396,FULCHER,R,"Rep. Fulcher, Russ [R-ID-1]",2396
1071,SMITH,R,"Rep. Smith, Christopher H. [R-NJ-4]",1071
2472,MURPHY,R,"Rep. Murphy, Gregory [R-NC-3]",2472
1710,NUNES,R,"Rep. Nunes, Devin [R-CA-22]",1710
2029,AMASH,L,"Rep. Amash, Justin [L-MI-3]",2029
2156,MULLIN,R,"Rep. Mullin, Markwayne [R-OK-2]",2156
1656,GRAVES,R,"Rep. Graves, Sam [R-MO-6]",1656
2330,JOHNSON,R,"Rep. Johnson, Mike [R-LA-4]",2330
2233,BUCK,R,"Rep. Buck, Ken [R-CO-4]",2233
1833,MCCARTHY,R,"Rep. McCarthy, Kevin [R-CA-23]",1833
1892,SCALISE,R,"Rep. Scalise, Steve [R-LA-1]",1892
2002,WEBSTER,R,"Rep. Webster, Daniel [R-FL-11]",2002
208,CLYBURN,D,"Rep. Clyburn, James E. [D-SC-6]",208
2483,HALL,D,"Rep. Hall, Kwanza [D-GA-5]",2483
2327,HOLLINGSWORTH,R,"Rep. Hollingsworth, Trey [R-IN-9]",2327
2053,MARINO,R,"Rep. Marino, Tom [R-PA-12]",2053
566,HOYER,D,"Rep. Hoyer, Steny H. [D-MD-5]",566
905,PELOSI,D,"Rep. Pelosi, Nancy [D-CA-12]",905
